,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT,CREDIT_TERM,DAYS_EMPLOYED_PERCENT,CREDIT_INCOME_BY_AGE,ANNUITY_INCOME_BY_AGE,INCOME_TO_FAMILYSIZE
12174,188449,0,F,0,1,0,112500.0,152685.0,7924.5,103500.0,,Working,Secondary / secondary special,Married,House / apartment,0.00702,-19174,-1475.0,-9721.0,-2672,,1,1,0,1,0,0,Medicine staff,2.0,2,2,MONDAY,10,0,0,0,0,1,1,Medicine,,0.166908583411974,0.0749592808990468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-185.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False,1.3572,0.07044,0.051900972590627766,0.07692708876603734,-7.078335245645144e-05,-3.673724835715031e-06,56250.0
12821,193322,0,M,1,1,0,270000.0,1125000.0,36292.5,1125000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-20181,-840.0,-6603.0,-3228,3.0,1,1,1,1,0,0,Drivers,2.0,2,2,FRIDAY,15,0,0,0,0,0,0,Other,0.4101755740988467,0.6954970766389634,0.5585066276769286,0.2031,,0.9906,0.8708,,0.24,0.2069,0.3333,0.0417,0.0,0.1656,0.2283,0.0,0.0,0.2069,,0.9906,0.8759,,0.2417,0.2069,0.3333,0.0417,0.0,0.1809,0.2379,0.0,0.0,0.2051,,0.9906,0.8725,,0.24,0.2069,0.3333,0.0417,0.0,0.1685,0.2324,0.0,0.0,,block of flats,0.1796,Panel,No,2.0,0.0,2.0,0.0,-1831.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,False,4.166666666666667,0.13441666666666666,0.03226,0.04162330905306972,-0.00020646482665213155,-6.660555307797763e-06,135000.0
13119,195293,0,F,1,0,2,139500.0,540000.0,20488.5,540000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.014464,-14579,-1525.0,-4461.0,-3909,7.0,1,1,1,1,0,0,Managers,4.0,2,2,WEDNESDAY,8,0,0,0,0,0,0,Other,0.5892330959965414,0.5478272169408774,0.266456808245056,0.067,0.0,0.9722,,,0.0,0.1379,0.125,,0.0307,,0.0462,,0.0403,0.0683,0.0,0.9722,,,0.0,0.1379,0.125,,0.0314,,0.0481,,0.0427,0.0677,0.0,0.9722,,,0.0,0.1379,0.125,,0.0313,,0.047,,0.0411,,block of flats,0.0423,"Stone, brick",No,0.0,0.0,0.0,0.0,-1700.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.870967741935484,0.14687096774193548,0.037941666666666665,0.10460251046025104,-0.0002655166844046563,-1.007414553412e-05,34875.0
13617,198670,0,F,0,0,0,135000.0,450000.0,19066.5,450000.0,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,0.031329,-21084,,-5572.0,-4644,,1,0,0,1,1,0,,1.0,2,2,WEDNESDAY,6,0,0,0,0,0,0,XNA,0.5543010805279397,0.3476697875753758,0.4614823912998385,0.1361,0.056,0.9737,0.6396,0.0014,0.0,0.1034,0.125,0.1667,0.0558,0.111,0.0313,0.0,0.0159,0.1387,0.0581,0.9737,0.6537,0.0015,0.0,0.1034,0.125,0.1667,0.0571,0.1212,0.0327,0.0,0.0168,0.1374,0.056,0.9737,0.6444,0.0015,0.0,0.1034,0.125,0.1667,0.0568,0.1129,0.0319,0.0,0.0162,reg oper account,block of flats,0.0289,Block,No,0.0,0.0,0.0,0.0,-858.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,False,3.3333333333333335,0.14123333333333332,0.04237,,-0.00015809776765952064,-6.698602415733889e-06,135000.0
15393,211076,0,M,1,1,2,247500.0,522396.0,33516.0,472500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-11752,-2043.0,-616.0,-3725,10.0,1,1,0,1,0,0,Managers,4.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.6536516710223679,0.3927738606031339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1852.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,2.110690909090909,0.13541818181818183,0.06415822479498312,0.1738427501701838,-0.00017960269818676898,-1.1522990284052232e-05,61875.0
15993,215337,0,F,0,1,1,315000.0,894676.5,50085.0,819000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.01885,-20442,-4100.0,-4126.0,-3992,,1,1,0,1,0,0,Managers,2.0,2,2,SATURDAY,15,0,0,0,0,0,0,Housing,0.6742260381778332,0.6170094212695064,0.7062051096536562,0.0567,0.0768,0.9687,,,0.0,0.2069,0.125,,0.127,,0.0376,,0.0649,0.0578,0.0797,0.9687,,,0.0,0.2069,0.125,,0.1299,,0.0391,,0.0687,0.0573,0.0768,0.9687,,,0.0,0.2069,0.125,,0.1292,,0.0382,,0.0663,,block of flats,0.0626,"Stone, brick",No,6.0,0.0,6.0,0.0,-397.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,False,2.840242857142857,0.159,0.05598112837433419,0.20056745915272478,-0.00013894153493507764,-7.77810390372762e-06,157500.0
18629,235306,0,F,0,0,2,145071.0,1242000.0,51255.0,1242000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.031329,-12097,-4391.0,-714.0,-2772,,1,1,1,1,0,0,Accountants,4.0,2,2,TUESDAY,10,0,0,0,0,0,0,Trade: type 7,0.5360517619299605,0.6712085170545765,0.7662336700704004,0.1887,0.0526,0.9975,0.966,0.1471,0.2,0.069,1.0,0.75,0.0726,0.1479,0.2968,0.027,0.1094,0.1922,0.0546,0.9975,0.9673,0.1485,0.2014,0.069,1.0,0.75,0.0743,0.1616,0.3092,0.0272,0.1158,0.1905,0.0526,0.9975,0.9665,0.1481,0.2,0.069,1.0,0.75,0.0739,0.1505,0.3021,0.0272,0.1117,org spec account,block of flats,0.3376,Monolithic,No,3.0,0.0,3.0,0.0,-1593.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,8.561325144239717,0.35330975866989267,0.041268115942028984,0.3629825576589237,-0.0007077230010944629,-2.9206394864007e-05,36267.75
20348,247779,0,F,1,1,0,225000.0,1125000.0,40540.5,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-19859,-2667.0,-5956.0,-3390,1.0,1,1,0,1,0,0,Sales staff,2.0,2,2,FRIDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.7686009969211359,0.5082869913916046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1441.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,False,5.0,0.18018,0.036036,0.13429679238632358,-0.00025177501384762577,-9.072964399013043e-06,112500.0
20657,249832,0,F,0,1,0,450000.0,1096020.0,56092.5,900000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.072508,-11594,-753.0,-5903.0,-763,,1,1,0,1,0,0,Drivers,1.0,1,1,WEDNESDAY,17,0,0,0,0,0,0,Trade: type 6,0.1832349626456512,0.3566043588310296,0.1595195404777181,0.5629,0.227,0.9846,0.7892,0.848,0.64,0.2759,0.6667,0.7083,0.0,0.4509,0.585,0.0367,0.0158,0.5725,0.2306,0.9846,0.7975,0.8526,0.6445,0.2759,0.6667,0.7083,0.0,0.4876,0.6045,0.0117,0.0063,0.5683,0.227,0.9846,0.792,0.8533,0.64,0.2759,0.6667,0.7083,0.0,0.4588,0.5956,0.0369,0.0162,reg oper account,block of flats,0.4619,Panel,No,2.0,1.0,2.0,1.0,-215.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,False,2.4356,0.12465,0.051178354409591065,0.06494738657926513,-0.00021007417629808522,-1.075125064688632e-05,450000.0
21060,252870,0,M,1,0,2,315000.0,539100.0,27652.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-10027,-1237.0,-997.0,-1524,4.0,1,1,1,1,1,0,Drivers,4.0,2,2,THURSDAY,9,0,0,0,0,1,1,Industry: type 9,0.5655788688114533,0.5477351284338345,0.2910973802776635,0.0165,0.0,0.9866,0.7892,0.004,0.0,0.0517,0.0417,0.0417,0.0,0.0168,0.0176,0.0,0.0079,0.0126,0.0,0.9846,0.7975,0.004,0.0,0.0345,0.0417,0.0417,0.0,0.0184,0.0129,0.0,0.0062,0.0167,0.0,0.9866,0.792,0.004,0.0,0.0517,0.0417,0.0417,0.0,0.0171,0.0179,0.0,0.0081,not specified,block of flats,0.0179,Wooden,No,1.0,1.0,1.0,1.0,-877.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.7114285714285715,0.08778571428571429,0.05129382303839733,0.12336690934476913,-0.0001706820157004659,-8.754933109176652e-06,78750.0
21692,257395,0,F,0,1,0,112500.0,1097896.5,35545.5,805500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018634,-15809,-2574.0,-2592.0,-5104,,1,1,0,1,1,0,,2.0,2,2,FRIDAY,13,0,0,0,0,0,0,School,0.5349545931613942,0.6996673711853992,0.6658549219640212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-727.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,False,9.75908,0.31596,0.03237600265598806,0.16281864760579418,-0.0006173116579163768,-1.998608387627301e-05,56250.0
22521,263794,0,M,1,1,2,360000.0,213723.0,25492.5,184500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.04622,-9794,-270.0,-4541.0,-2243,10.0,1,1,0,1,0,1,Sales staff,4.0,1,1,SUNDAY,14,0,1,1,0,0,0,Realtor,0.3333921141507076,0.4115105732385462,,0.0825,0.062,0.9747,0.6532,,0.0,0.1379,0.1667,,0.0325,,0.0637,,0.0,0.084,0.0643,0.9747,0.6668,,0.0,0.1379,0.1667,,0.0333,,0.0664,,0.0,0.0833,0.062,0.9747,0.6578,,0.0,0.1379,0.1667,,0.0331,,0.0648,,0.0,reg oper account,block of flats,0.0501,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,False,0.593675,0.0708125,0.11927822461784647,0.02756789871349806,-6.0616193587910964e-05,-7.230191954257709e-06,90000.0
